annee; femmes; hommes; etranger; CH; total
2011; 1584; 965; 416; 2133; 2549
2012; 1726; 1045; 486; 2285; 2771
2013; 1849; 1144; 542; 2451; 2993
2014; 1783; 1107; 528; 2362; 2890
2015; 1779; 1093; 503; 2369; 2872
2016; 1798; 1134; 531; 2401; 2932
2017; 1920; 1166; 547; 2539; 3086
2018; 1989; 1196; 555; 2630; 3185
2019; 2039; 1187; 564; 2662; 3226
2020; 2287; 1221; 604; 2904; 3508
2021; 2403; 1225; 666; 2962; 3628
