annee; femmes; hommes; etranger; CH; total
2011; 6767; 5445; 2967; 9275; 12242
2012; 7111; 5844; 3288; 9667; 12955
2013; 7478; 6165; 3657; 9986; 13643
2014; 7736; 6429; 3799; 10366; 14165
2015; 7705; 6484; 3749; 10440; 14189
2016; 7827; 6648; 3915; 10560; 14475
2017; 8135; 6841; 3992; 10984; 14976
2018; 8480; 6854; 3967; 11367; 15334
2019; 8892; 6976; 4073; 11795; 15868
2020; 9758; 7161; 4311; 12608; 16919
2021; 9985; 7156; 4394; 12747; 17141
