annee; femmes; hommes; etranger; CH; total
2011; 828; 1493; 908; 1413; 2321
2012; 914; 1673; 1036; 1551; 2587
2013; 997; 1741; 1168; 1570; 2738
2014; 1111; 1800; 1217; 1694; 2911
2015; 1074; 1799; 1184; 1689; 2873
2016; 1032; 1867; 1196; 1703; 2899
2017; 1057; 1950; 1213; 1794; 3007
2018; 1077; 2010; 1166; 1921; 3087
2019; 1082; 2022; 1182; 1922; 3104
2020; 1201; 2105; 1241; 2065; 3306
2021; 1209; 2094; 1197; 2106; 3303
