annee; femmes; hommes; etranger; CH; total
2011; 993; 645; 370; 1268; 1638
2012; 1034; 677; 388; 1323; 1711
2013; 1063; 710; 415; 1358; 1773
2014; 1125; 772; 402; 1495; 1897
2015; 1139; 780; 430; 1489; 1919
2016; 1201; 808; 468; 1541; 2009
2017; 1204; 789; 462; 1531; 1993
2018; 1257; 772; 482; 1547; 2029
2019; 1327; 791; 494; 1624; 2118
2020; 1472; 807; 533; 1746; 2279
2021; 1553; 810; 569; 1794; 2363
