annee; femmes; hommes; etranger; CH; total
2011; 301; 433; 132; 602; 734
2012; 331; 461; 146; 646; 792
2013; 345; 468; 143; 670; 813
2014; 382; 476; 158; 700; 858
2015; 366; 486; 166; 686; 852
2016; 346; 471; 170; 647; 817
2017; 367; 512; 188; 691; 879
2018; 382; 510; 188; 704; 892
2019; 413; 499; 189; 723; 912
2020; 445; 502; 194; 753; 947
2021; 421; 494; 209; 706; 915
