annee; femmes; hommes; etranger; CH; total
2011; 1538; 779; 562; 1755; 2317
2012; 1512; 779; 579; 1712; 2291
2013; 1476; 796; 597; 1675; 2272
2014; 1442; 785; 576; 1651; 2227
2015; 1429; 804; 569; 1664; 2233
2016; 1363; 831; 583; 1611; 2194
2017; 1402; 827; 565; 1664; 2229
2018; 1426; 809; 554; 1681; 2235
2019; 1422; 833; 548; 1707; 2255
2020; 1462; 812; 541; 1733; 2274
2021; 1396; 804; 477; 1723; 2200
