annee; femmes; hommes; etranger; CH; total
2011; 34; 45; 23; 56; 79
2012; 39; 39; 27; 51; 78
2013; 52; 37; 28; 61; 89
2014; 57; 44; 30; 71; 101
2015; 66; 55; 35; 86; 121
2016; 66; 53; 35; 84; 119
2017; 67; 53; 33; 87; 120
2018; 58; 45; 32; 71; 103
2019; 57; 50; 35; 72; 107
2020; 52; 46; 33; 65; 98
2021; 48; 41; 32; 57; 89
